"standalone_institution_id","survey_year","accreditation_id"
"1875","2015","31847"
"12401","2015","31849"
"3743","2015","23248"
"14596","2015","23263"
"3787","2015","23312"
"9724","2015","23328"
"9803","2015","23397"
"10384","2015","23434"
"9629","2015","23473"
"10067","2015","23498"
"3745","2015","23566"
"3745","2015","23567"
"1644","2015","23613"
"3794","2015","23614"
"3337","2015","23668"
"3337","2015","23669"
"3337","2015","23670"
"8934","2015","23683"
"12202","2015","23715"
"4221","2015","23728"
"4221","2015","23729"
"4221","2015","23730"
"13992","2015","23770"
"13992","2015","23771"
"12748","2015","23789"
"1841","2015","23842"
"1932","2015","23925"
"4393","2015","23937"
"4393","2015","23938"
"12866","2015","23945"
"12866","2015","23946"
"3656","2015","23947"
"3199","2015","24002"
"2704","2015","24012"
"12379","2015","24099"
"14575","2015","24120"
"5522","2015","24126"
"5522","2015","24127"
"14159","2015","24148"
"9816","2015","24209"
"14574","2015","24215"
"3137","2015","24239"
"9882","2015","24270"
"13974","2015","24303"
"3780","2015","24340"
"4299","2015","24375"
"4299","2015","24376"
"4299","2015","24377"
"14007","2015","24401"
"13802","2015","24405"
"9593","2015","24418"
"9712","2015","24452"
"5971","2015","24485"
"9855","2015","24507"
"3981","2015","24523"
"5325","2015","24549"
"14985","2015","24552"
"3589","2015","24558"
"13984","2015","24562"
"9375","2015","24572"
"3216","2015","24640"
"5468","2015","24737"
"5468","2015","24738"
"9092","2015","24757"
"13980","2015","24924"
"848","2015","24937"
"3405","2015","24938"
"7517","2015","24941"
"9500","2015","24946"
"9871","2015","24969"
"8780","2015","25016"
"3524","2015","25037"
"5695","2015","25086"
"9995","2015","25166"
"4434","2015","25172"
"4434","2015","25173"
"1399","2015","25175"
"5489","2015","25246"
"3760","2015","25256"
"3760","2015","25257"
"3525","2015","25335"
"4578","2015","25366"
"10973","2015","25404"
"3143","2015","25465"
"14603","2015","25484"
"8840","2015","25526"
"3449","2015","25561"
"3495","2015","25562"
"14024","2015","25581"
"15108","2015","25592"
"13969","2015","25601"
"4290","2015","25609"
"9143","2015","25624"
"4430","2015","25632"
"4456","2015","25676"
"9979","2015","25678"
"15036","2015","25688"
"4026","2015","25693"
"4028","2015","25700"
"2907","2015","25717"
"4332","2015","25783"
"3985","2015","25862"
"75","2015","25879"
"13801","2015","25911"
"2881","2015","25925"
"1529","2015","25943"
"12868","2015","25946"
"15076","2015","25947"
"4497","2015","25955"
"12196","2015","26003"
"4507","2015","26033"
"3213","2015","26074"
"5436","2015","26088"
"9870","2015","26090"
"4551","2015","26101"
"5407","2015","26124"
"164","2015","26216"
"13985","2015","26217"
"12895","2015","26241"
"4020","2015","26249"
"3907","2015","26264"
"14023","2015","26278"
"5490","2015","26291"
"7550","2015","26322"
"12541","2015","26355"
"4136","2015","26388"
"2835","2015","26439"
"13926","2015","26441"
"4525","2015","26481"
"3419","2015","26487"
"132","2015","26518"
"5416","2015","26524"
"14165","2015","26558"
"4641","2015","26576"
"5391","2015","26601"
"5391","2015","26602"
"4888","2015","26613"
"14615","2015","26647"
"5335","2015","26654"
"3223","2015","26665"
"7671","2015","26687"
"4019","2015","26727"
"4019","2015","26728"
"4019","2015","26729"
"4468","2015","26734"
"5401","2015","26748"
"14553","2015","26753"
"2759","2015","26802"
"2759","2015","26803"
"3394","2015","26805"
"3317","2015","26844"
"10918","2015","26859"
"12802","2015","26861"
"2037","2015","26883"
"4854","2015","26909"
"4883","2015","26912"
"706","2015","26936"
"12126","2015","26970"
"12513","2015","27035"
"12147","2015","27060"
"3774","2015","27076"
"14498","2015","27177"
"15299","2015","27180"
"4733","2015","27196"
"4733","2015","27197"
"4256","2015","27213"
"4256","2015","27214"
"4256","2015","27215"
"9877","2015","27239"
"2744","2015","27265"
"5405","2015","27307"
"3013","2015","27311"
"13954","2015","27355"
"4474","2015","27368"
"12582","2015","27483"
"15248","2015","27487"
"15248","2015","27488"
"5472","2015","27578"
"4257","2015","27586"
"4160","2015","27690"
"14166","2015","27704"
"4433","2015","27718"
"4433","2015","27719"
"2833","2015","27725"
"4469","2015","27743"
"4472","2015","27771"
"4472","2015","27772"
"5431","2015","27810"
"1340","2015","27825"
"2486","2015","27865"
"3951","2015","27869"
"5460","2015","27892"
"5460","2015","27893"
"88","2015","27910"
"8890","2015","27932"
"11094","2015","27942"
"14158","2015","27988"
"13904","2015","28036"
"15233","2015","28066"
"15240","2015","28069"
"15291","2015","28106"
"5463","2015","28136"
"5499","2015","28141"
"3428","2015","28168"
"5501","2015","28195"
"4151","2015","28226"
"3925","2015","28230"
"4731","2015","28248"
"4731","2015","28249"
"5117","2015","28267"
"5474","2015","28277"
"5404","2015","28293"
"4010","2015","28328"
"4010","2015","28329"
"4010","2015","28330"
"13821","2015","28333"
"715","2015","28334"
"1226","2015","28347"
"3994","2015","28351"
"3994","2015","28352"
"4453","2015","28360"
"78","2015","28374"
"15254","2015","28384"
"4112","2015","28396"
"4112","2015","28397"
"12409","2015","28456"
"12409","2015","28457"
"15024","2015","28469"
"15021","2015","28470"
"4272","2015","28486"
"4985","2015","28516"
"4235","2015","28571"
"4235","2015","28572"
"4235","2015","28573"
"4235","2015","28574"
"4040","2015","28586"
"4040","2015","28587"
"4040","2015","28588"
"4040","2015","28589"
"4503","2015","28598"
"15317","2015","28681"
"2094","2015","28685"
"2094","2015","28686"
"15000","2015","28710"
"2644","2015","28719"
"3872","2015","28727"
"4421","2015","28736"
"2198","2015","28746"
"4528","2015","28787"
"220","2015","28847"
"4044","2015","28887"
"2546","2015","28917"
"6989","2015","28927"
"4407","2015","28936"
"6962","2015","28947"
"4510","2015","29003"
"4510","2015","29004"
"5046","2015","29026"
"712","2015","29060"
"13816","2015","29076"
"3660","2015","29100"
"3660","2015","29101"
"2800","2015","29114"
"4105","2015","29118"
"5429","2015","29130"
"15042","2015","29150"
"12863","2015","29156"
"2781","2015","29190"
"3456","2015","29214"
"13955","2015","29220"
"3096","2015","29263"
"5268","2015","29277"
"2974","2015","29289"
"5274","2015","29309"
"354","2015","29332"
"2535","2015","29395"
"14874","2015","29419"
"14874","2015","29420"
"4617","2015","29445"
"4617","2015","29446"
"5010","2015","29474"
"13812","2015","29479"
"6227","2015","29497"
"12145","2015","29510"
"35","2015","29564"
"4934","2015","29660"
"4934","2015","29661"
"15245","2015","29662"
"9191","2015","29684"
"4128","2015","29705"
"3492","2015","29731"
"10878","2015","29738"
"3458","2015","29767"
"3507","2015","29775"
"7124","2015","29789"
"4404","2015","29829"
"12625","2015","29832"
"4981","2015","29851"
"4981","2015","29852"
"3902","2015","29866"
"3902","2015","29867"
"3902","2015","29868"
"4355","2015","29917"
"3991","2015","29920"
"3448","2015","29946"
"5011","2015","29957"
"6218","2015","29967"
"4129","2015","29995"
"4129","2015","29996"
"4129","2015","29997"
"5007","2015","30012"
"4499","2015","30050"
"3876","2015","30061"
"10958","2015","30073"
"14586","2015","30103"
"3306","2015","30164"
"4082","2015","30205"
"5003","2015","30250"
"13942","2015","30255"
"3982","2015","30257"
"14542","2015","30266"
"12352","2015","30270"
"3680","2015","30273"
"6969","2015","30283"
"12355","2015","30292"
"711","2015","30308"
"4556","2015","30356"
"3959","2015","30360"
"166","2015","30374"
"166","2015","30375"
"1973","2015","30428"
"7542","2015","30440"
"4309","2015","30442"
"4931","2015","30511"
"4532","2015","30531"
"2510","2015","30537"
"4046","2015","30540"
"4046","2015","30541"
"1491","2015","30577"
"8049","2015","30578"
"15697","2015","30676"
"4126","2015","30693"
"1591","2015","30698"
"3722","2015","30724"
"7616","2015","30748"
"10956","2015","30760"
"10956","2015","30761"
"10937","2015","30764"
"12369","2015","30772"
"15601","2015","30786"
"6223","2015","30788"
"15472","2015","30799"
"15470","2015","30801"
"3283","2015","30851"
"3629","2015","30858"
"8903","2015","30898"
"6991","2015","30916"
"4125","2015","30957"
"4722","2015","30962"
"8122","2015","30967"
"266","2015","30973"
"266","2015","30974"
"8279","2015","30976"
"3692","2015","30980"
"3530","2015","30983"
"11092","2015","30988"
"11095","2015","30997"
"15605","2015","30998"
"11093","2015","31001"
"15602","2015","31018"
"4973","2015","31041"
"4521","2015","31065"
"4580","2015","31068"
"9905","2015","31102"
"4735","2015","31115"
"4587","2015","31141"
"15027","2015","31151"
"15025","2015","31157"
"15028","2015","31160"
"4034","2015","31229"
"4034","2015","31230"
"7793","2015","31231"
"15839","2015","31280"
"6225","2015","31287"
"4465","2015","31303"
"92","2015","31309"
"7617","2015","31318"
"153","2015","31329"
"8972","2015","31356"
"8972","2015","31357"
"12148","2015","31368"
"5031","2015","31373"
"7279","2015","31376"
"7390","2015","31379"
"13361","2015","31396"
"6980","2015","31401"
"15182","2015","31403"
"3979","2015","31408"
"8087","2015","31410"
"8959","2015","31423"
"1820","2015","31430"
"1820","2015","31431"
"1820","2015","31432"
"15673","2015","31445"
"15675","2015","31469"
"4428","2015","31473"
"4877","2015","31476"
"1880","2015","31480"
"485","2015","31482"
"2476","2015","31485"
"7055","2015","31511"
"8870","2015","31533"
"1856","2015","31552"
"4440","2015","31553"
"13934","2015","31560"
"8864","2015","31564"
"3747","2015","31566"
"4504","2015","31583"
"15520","2015","31589"
"13389","2015","31605"
"15558","2015","31614"
"1148","2015","31618"
"15594","2015","31645"
"15661","2015","31655"
"4752","2015","31685"
"394","2015","31686"
"394","2015","31687"
"394","2015","31688"
"15797","2015","31697"
"15827","2015","31698"
"15827","2015","31699"
"4173","2015","31701"
"4471","2015","31704"
"4769","2015","31710"
"15494","2015","31731"
"15495","2015","31739"
"15448","2015","31741"
"3736","2015","31744"
"3852","2015","31748"
"14492","2015","31782"
"14818","2015","31791"
"1161","2015","31796"
"3859","2015","31798"
"15556","2015","31821"
"15556","2015","31822"
"4814","2015","31824"
"3855","2015","31833"
"3705","2015","31842"
"12720","2015","31850"
"15657","2015","31861"
"1731","2015","31867"
"12853","2015","31882"
"7563","2015","31885"
"675","2015","31886"
