"university_id","department_id","survey_year"
"0464","763915","2015"
"0464","763916","2015"
"0464","763917","2015"
"0464","763918","2015"
"0464","763919","2015"
"0464","763920","2015"
"0464","763921","2015"
"0464","763922","2015"
"0464","763923","2015"
"0464","763924","2015"
"0464","763925","2015"
"0464","763926","2015"
"0464","763927","2015"
"0464","763928","2015"
"0464","763929","2015"
"0464","763930","2015"
"0464","763931","2015"
"0464","763932","2015"
"0464","763933","2015"
"0464","763934","2015"
"0464","763935","2015"
"0464","763936","2015"
"0464","763937","2015"
"0464","763938","2015"
"0636","767066","2015"
"0636","767067","2015"
"0636","767068","2015"
"0636","767069","2015"
"0636","767070","2015"
"0044","807228","2015"
"0044","807229","2015"
"0044","807230","2015"
"0044","807231","2015"
"0044","807232","2015"
"0044","807233","2015"
"0044","807234","2015"
"0044","807235","2015"
"0044","807236","2015"
"0044","807237","2015"
"0044","807238","2015"
"0044","807239","2015"
"0044","807240","2015"
"0044","807241","2015"
"0044","807242","2015"
"0044","807243","2015"
"0119","814712","2015"
"0119","814713","2015"
"0119","814714","2015"
"0119","814715","2015"
"0119","814716","2015"
"0119","814717","2015"
"0781","819086","2015"
"0781","819087","2015"
"0781","819088","2015"
"0781","819089","2015"
"0781","819090","2015"
"0617","822978","2015"
"0617","822979","2015"
"0617","822980","2015"
"0617","822981","2015"
"0617","822982","2015"
"0617","822983","2015"
"0617","822984","2015"
"0617","822985","2015"
"0617","822986","2015"
"0234","827583","2015"
"0234","827584","2015"
"0234","827585","2015"
"0234","827586","2015"
"0234","827587","2015"
"0234","827588","2015"
"0234","827589","2015"
"0234","827590","2015"
"0234","827591","2015"
"0234","827592","2015"
"0234","827593","2015"
"0234","827594","2015"
"0234","827595","2015"
"0234","827596","2015"
"0234","827597","2015"
"0351","839909","2015"
"0318","853823","2015"
"0318","853824","2015"
"0318","853825","2015"
"0318","853826","2015"
"0318","853827","2015"
"0318","853828","2015"
"0318","853829","2015"
"0318","853830","2015"
"0318","853831","2015"
"0318","853832","2015"
"0318","853833","2015"
"0318","853834","2015"
"0318","853835","2015"
"0318","853836","2015"
"0318","853837","2015"
"0318","853838","2015"
"0318","853839","2015"
"0318","853840","2015"
"0318","853841","2015"
"0318","853842","2015"
"0318","853843","2015"
"0318","853844","2015"
"0318","853845","2015"
"0318","853846","2015"
"0318","853847","2015"
"0318","853848","2015"
"0318","853849","2015"
"0318","853850","2015"
"0318","853851","2015"
"0318","853852","2015"
"0318","853853","2015"
"0318","853854","2015"
"0318","853855","2015"
"0318","853856","2015"
"0318","853857","2015"
"0318","853858","2015"
"0318","853859","2015"
"0318","853860","2015"
"0318","853861","2015"
"0318","853862","2015"
"0318","853863","2015"
"0318","853864","2015"
"0318","853865","2015"
"0318","853866","2015"
"0318","853867","2015"
"0318","853868","2015"
"0318","853869","2015"
"0318","853870","2015"
"0318","853871","2015"
"0318","853872","2015"
"0318","853873","2015"
"0318","853874","2015"
"0318","853875","2015"
"0318","853876","2015"
"0318","853877","2015"
"0739","857899","2015"
"0739","857900","2015"
"0739","857901","2015"
"0739","857902","2015"
"0739","857903","2015"
"0739","857904","2015"
"0739","857905","2015"
"0278","859727","2015"
"0278","859728","2015"
"0278","859729","2015"
"0278","859730","2015"
"0278","859731","2015"
"0278","859732","2015"
"0263","863771","2015"
"0263","863772","2015"
"0263","863773","2015"
"0263","863774","2015"
"0263","863775","2015"
"0263","863776","2015"
"0263","863777","2015"
"0263","863778","2015"
"0263","863779","2015"
"0263","863780","2015"
"0263","863781","2015"
"0263","863782","2015"
"0263","863783","2015"
"0263","863784","2015"
"0263","863785","2015"
"0535","870230","2015"
"0535","870231","2015"
"0535","870232","2015"
"0359","871311","2015"
"0359","871312","2015"
"0359","871313","2015"
"0359","871314","2015"
"0359","871315","2015"
"0359","871316","2015"
"0359","871317","2015"
"0359","871318","2015"
"0359","871319","2015"
"0359","871320","2015"
"0359","871321","2015"
"0359","871322","2015"
"0359","871323","2015"
"0359","871324","2015"
"0359","871325","2015"
"0359","871326","2015"
"0359","871327","2015"
"0359","871328","2015"
"0359","871329","2015"
"0359","871330","2015"
"0359","871331","2015"
"0359","871332","2015"
"0359","871333","2015"
"0359","871334","2015"
"0359","871335","2015"
"0359","871336","2015"
"0359","871337","2015"
"0359","871338","2015"
"0466","871733","2015"
"0466","871734","2015"
"0466","871735","2015"
"0466","871736","2015"
"0466","871737","2015"
"0466","871738","2015"
"0466","871739","2015"
"0466","871740","2015"
"0466","871741","2015"
"0466","871742","2015"
"0466","871743","2015"
"0466","871744","2015"
"0466","871745","2015"
"0466","871746","2015"
"0466","871747","2015"
"0466","871748","2015"
"0466","871749","2015"
"0466","871750","2015"
"0224","878202","2015"
"0224","878203","2015"
"0224","878204","2015"
"0224","878205","2015"
"0224","878206","2015"
"0224","878207","2015"
"0224","878208","2015"
"0224","878209","2015"
"0325","886788","2015"
"0325","886789","2015"
"0325","886790","2015"
"0325","886791","2015"
"0325","886792","2015"
"0325","886793","2015"
"0325","886794","2015"
"0325","886795","2015"
"0325","886796","2015"
"0325","886797","2015"
"0325","886798","2015"
"0325","886799","2015"
"0325","886800","2015"
"0325","886801","2015"
"0325","886802","2015"
"0325","886803","2015"
"0325","886804","2015"
"0325","886805","2015"
"0325","886806","2015"
"0325","886807","2015"
"0325","886808","2015"
"0325","886809","2015"
"0325","886810","2015"
"0325","886811","2015"
"0325","886812","2015"
"0325","886813","2015"
"0325","886814","2015"
"0325","886815","2015"
"0325","886816","2015"
"0325","886817","2015"
"0325","886818","2015"
"0325","886819","2015"
"0325","886820","2015"
"0325","886821","2015"
"0325","886822","2015"
"0325","886823","2015"
"0325","886824","2015"
"0325","886825","2015"
"0325","886826","2015"
"0325","886827","2015"
"0325","886828","2015"
"0325","886829","2015"
"0325","886830","2015"
"0255","891042","2015"
"0255","891043","2015"
"0255","891044","2015"
"0255","891045","2015"
"0255","891046","2015"
"0255","891047","2015"
"0255","891048","2015"
"0221","895873","2015"
"0573","896684","2015"
"0573","896685","2015"
"0573","896686","2015"
"0573","896687","2015"
"0573","896688","2015"
"0573","896689","2015"
"0573","896690","2015"
"0573","896691","2015"
"0573","896692","2015"
"0573","896693","2015"
"0573","896694","2015"
"0573","896695","2015"
"0573","896696","2015"
"0573","896697","2015"
"0573","896698","2015"
"0573","896699","2015"
"0573","896700","2015"
"0573","896701","2015"
"0573","896702","2015"
"0573","896703","2015"
"0573","896704","2015"
"0573","896705","2015"
"0573","896706","2015"
"0573","896707","2015"
"0573","896708","2015"
"0573","896709","2015"
"0573","896710","2015"
"0573","896711","2015"
"0573","896712","2015"
"0573","896713","2015"
"0573","896714","2015"
"0573","896715","2015"
"0573","896716","2015"
"0573","896717","2015"
"0573","896718","2015"
"0573","896719","2015"
"0573","896720","2015"
"0573","896721","2015"
"0573","896722","2015"
"0573","896723","2015"
"0573","896724","2015"
"0621","899473","2015"
"0621","899474","2015"
"0621","899475","2015"
"0621","899476","2015"
"0621","899477","2015"
"0621","899478","2015"
"0621","899479","2015"
"0621","899480","2015"
"0621","899481","2015"
"0260","913552","2015"
"0260","913553","2015"
"0618","918604","2015"
"0618","918605","2015"
"0618","918606","2015"
"0618","918607","2015"
"0112","922229","2015"
"0112","922230","2015"
"0112","922231","2015"
"0518","922666","2015"
"0518","922667","2015"
"0518","922668","2015"
"0518","922669","2015"
"0518","922670","2015"
"0518","922671","2015"
"0518","922672","2015"
"0518","922673","2015"
"0518","922674","2015"
"0518","922675","2015"
"0518","922676","2015"
"0518","922677","2015"
"0518","922678","2015"
"0518","922679","2015"
"0518","922680","2015"
"0518","922681","2015"
"0518","922682","2015"
"0518","922683","2015"
"0518","922684","2015"
"0518","922685","2015"
"0518","922686","2015"
"0518","922687","2015"
"0326","923846","2015"
"0326","923847","2015"
"0326","923848","2015"
"0326","923849","2015"
"0326","923850","2015"
"0326","923851","2015"
"0326","923852","2015"
"0326","923853","2015"
"0326","923854","2015"
"0326","923855","2015"
"0326","923856","2015"
"0326","923857","2015"
"0326","923858","2015"
"0326","923859","2015"
"0326","923860","2015"
"0326","923861","2015"
"0326","923862","2015"
"0326","923863","2015"
"0326","923864","2015"
"0326","923865","2015"
"0326","923866","2015"
"0326","923867","2015"
"0326","923868","2015"
"0326","923869","2015"
"0326","923870","2015"
"0326","923871","2015"
"0326","923872","2015"
"0326","923873","2015"
"0326","923874","2015"
"0326","923875","2015"
"0326","923876","2015"
"0326","923877","2015"
"0326","923878","2015"
"0326","923879","2015"
"0326","923880","2015"
"0117","929125","2015"
"0117","929126","2015"
"0410","930767","2015"
"0410","930768","2015"
"0410","930769","2015"
"0410","930770","2015"
"0410","930771","2015"
"0410","930772","2015"
"0410","930773","2015"
"0410","930774","2015"
"0410","930775","2015"
"0410","930776","2015"
"0410","930777","2015"
"0410","930778","2015"
"0410","930779","2015"
"0410","930780","2015"
"0410","930781","2015"
"0410","930782","2015"
"0410","930783","2015"
"0410","930784","2015"
"0283","932131","2015"
"0283","932132","2015"
"0283","932133","2015"
"0283","932134","2015"
"0283","932135","2015"
"0283","932136","2015"
"0283","932137","2015"
"0283","932138","2015"
"0283","932139","2015"
"0120","933823","2015"
"0120","933824","2015"
"0120","933825","2015"
"0120","933826","2015"
"0100","934037","2015"
"0100","934038","2015"
"0100","934039","2015"
"0100","934040","2015"
"0100","934041","2015"
"0100","934042","2015"
"0100","934043","2015"
"0100","934044","2015"
"0100","934045","2015"
"0100","934046","2015"
"0100","934047","2015"
"0100","934048","2015"
"0100","934049","2015"
"0100","934050","2015"
"0100","934051","2015"
"0100","934052","2015"
"0100","934053","2015"
"0100","934054","2015"
"0100","934055","2015"
"0100","934056","2015"
"0100","934057","2015"
"0100","934058","2015"
"0100","934059","2015"
"0100","934060","2015"
"0100","934061","2015"
"0066","937991","2015"
"0066","937992","2015"
"0066","937993","2015"
"0066","937994","2015"
"0066","937995","2015"
"0066","937996","2015"
"0066","937997","2015"
"0066","937998","2015"
"0066","937999","2015"
"0066","938000","2015"
"0066","938001","2015"
"0066","938002","2015"
"0066","938003","2015"
"0066","938004","2015"
"0066","938005","2015"
"0066","938006","2015"
"0098","948417","2015"
"0098","948418","2015"
"0098","948419","2015"
"0098","948420","2015"
"0098","948421","2015"
"0098","948422","2015"
"0098","948423","2015"
"0098","948424","2015"
"0098","948425","2015"
"0098","948426","2015"
"0098","948427","2015"
"0098","948428","2015"
"0098","948429","2015"
"0098","948430","2015"
"0237","951657","2015"
"0237","951658","2015"
"0237","951659","2015"
"0237","951660","2015"
"0237","951661","2015"
"0237","951662","2015"
"0237","951663","2015"
"0237","951664","2015"
"0237","951665","2015"
"0237","951666","2015"
"0237","951667","2015"
"0237","951668","2015"
"0237","951669","2015"
"0237","951670","2015"
"0055","953771","2015"
"0055","953772","2015"
"0055","953773","2015"
"0055","953774","2015"
"0055","953775","2015"
"0055","953776","2015"
"0055","953777","2015"
"0055","953778","2015"
"0055","953779","2015"
"0055","953780","2015"
"0055","953781","2015"
"0248","957445","2015"
"0248","957446","2015"
"0248","957447","2015"
"0248","957448","2015"
"0081","959023","2015"
"0081","959024","2015"
"0081","959025","2015"
"0081","959026","2015"
"0081","959027","2015"
"0081","959028","2015"
"0081","959029","2015"
"0081","959030","2015"
"0796","965625","2015"
"0796","965626","2015"
"0619","967172","2015"
"0619","967173","2015"
"0619","967174","2015"
"0619","967175","2015"
"0619","967176","2015"
"0619","967177","2015"
"0619","967178","2015"
"0619","967179","2015"
"0619","967180","2015"
"0530","967212","2015"
"0530","967213","2015"
"0530","967214","2015"
"0530","967215","2015"
"0530","967216","2015"
"0530","967217","2015"
"0530","967218","2015"
"0530","967219","2015"
"0530","967220","2015"
"0530","967221","2015"
"0530","967222","2015"
"0530","967223","2015"
"0530","967224","2015"
"0530","967225","2015"
"0065","975486","2015"
"0065","975487","2015"
"0065","975488","2015"
"0065","975489","2015"
"0065","975490","2015"
"0065","975491","2015"
"0065","975492","2015"
"0065","975493","2015"
"0065","975494","2015"
"0065","975495","2015"
"0065","975496","2015"
"0065","975497","2015"
"0065","975498","2015"
"0065","975499","2015"
"0065","975500","2015"
"0065","975501","2015"
"0065","975502","2015"
"0065","975503","2015"
"0065","975504","2015"
"0065","975505","2015"
"0065","975506","2015"
"0065","975507","2015"
"0065","975508","2015"
"0065","975509","2015"
"0065","975510","2015"
"0065","975511","2015"
"0065","975512","2015"
"0065","975513","2015"
"0065","975514","2015"
"0065","975515","2015"
"0065","975516","2015"
"0065","975517","2015"
"0488","980651","2015"
"0488","980652","2015"
"0488","980653","2015"
"0488","980654","2015"
"0488","980655","2015"
"0488","980656","2015"
"0488","980657","2015"
"0677","986311","2015"
"0677","986312","2015"
"0606","987762","2015"
"0606","987763","2015"
"0606","987764","2015"
"0606","987765","2015"
"0606","987766","2015"
"0606","987767","2015"
"0606","987768","2015"
"0606","987769","2015"
"0606","987770","2015"
"0606","987771","2015"
"0606","987772","2015"
"0606","987773","2015"
"0606","987774","2015"
"0606","987775","2015"
"0606","987776","2015"
"0606","987777","2015"
"0606","987778","2015"
"0606","987779","2015"
"0606","987780","2015"
"0606","987781","2015"
"0606","987782","2015"
"0606","987783","2015"
"0606","987784","2015"
"0606","987785","2015"
"0606","987786","2015"
"0266","988834","2015"
"0266","988835","2015"
"0266","988836","2015"
"0266","988837","2015"
"0266","988838","2015"
"0266","988839","2015"
"0266","988840","2015"
"0266","988841","2015"
"0266","988842","2015"
"0266","988843","2015"
"0266","988844","2015"
"0266","988845","2015"
"0266","988846","2015"
"0106","990992","2015"
"0106","990993","2015"
"0106","990994","2015"
"0106","990995","2015"
"0106","990996","2015"
"0106","990997","2015"
"0106","990998","2015"
"0106","990999","2015"
"0106","991000","2015"
"0106","991001","2015"
"0106","991002","2015"
"0106","991003","2015"
"0106","991004","2015"
"0106","991005","2015"
"0106","991006","2015"
"0770","993696","2015"
"0770","993697","2015"
"0517","997516","2015"
"0517","997517","2015"
"0517","997518","2015"
"0517","997519","2015"
"0517","997520","2015"
"0517","997521","2015"
"0517","997522","2015"
"0517","997523","2015"
"0517","997524","2015"
"0517","997525","2015"
"0517","997526","2015"
"0517","997527","2015"
"0517","997528","2015"
"0517","997529","2015"
"0517","997530","2015"
"0517","997531","2015"
"0517","997532","2015"
"0517","997533","2015"
"0517","997534","2015"
